,Trial0,Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Trial11,Trial12,Trial13,Trial14,Trial15,Trial16,Trial17,Trial18,Trial19,Trial20,Trial21,Trial22,Trial23,Trial24,Trial25,Trial26,Trial27,Trial28,Trial29,Trial30,Trial31,Trial32,Trial33,Trial34,Trial35,Trial36,Trial37,Trial38,Trial39,Trial40,Trial41,Trial42,Trial43,Trial44,Trial45,Trial46,Trial47,Trial48,Trial49,Trial50,Trial51,Trial52,Trial53,Trial54,Trial55,Trial56,Trial57,Trial58,Trial59,Trial60,Trial61,Trial62,Trial63,Trial64,Trial65,Trial66,Trial67,Trial68,Trial69,Trial70,Trial71,Trial72,Trial73,Trial74,Trial75,Trial76,Trial77,Trial78,Trial79,Trial80,Trial81,Trial82,Trial83,Trial84,Trial85,Trial86,Trial87,Trial88,Trial89,Trial90,Trial91,Trial92,Trial93,Trial94,Trial95,Trial96,Trial97,Trial98,Trial99
0,3940924.650046545,3217689.0848497497,3623096.462701274,3217957.282807213,3624157.0025228723,3827343.6851124186,3628993.294879483,3226883.956819914,3215050.7419968727,3198286.1487335158,3627644.2856956143,3213427.794721964,3228850.91353452,3616643.227764022,3633910.9773207037,3625932.153539749,3623043.5096479193,3201507.467465261,3206052.0969717028,3209142.598188809,3643244.7765258485,3216228.6282341103,3201053.1439813627,3213395.6068952573,3618588.7754999194,3204653.338316212,3615539.814498741,3225632.6676110313,3204123.1147834877,3223236.2673643623,3642139.649611077,3220764.116544583,3214126.2257605623,3203668.42941823,3206467.836280885,3640088.6420747386,3191979.2078847904,3626056.1233668686,3823581.7988515883,3211569.2195279114,3820820.036809496,3620316.2065320546,3645336.8000500677,3627650.706514251,3633663.1182780275,3825078.047577976,3820376.1698580487,3627143.3507819464,3614647.4380266964,3625057.0845780876,3211078.0127564967,3199980.7002521255,3824324.162522919,3207523.143437638,3229961.407981357,3187268.0614634124,3652038.8178232308,3619517.1196789457,3633762.379911111,3202519.912168184,3220703.067381305,3628985.11864293,3817868.4371326645,3630168.5134488465,3195010.4094935074,3223800.6634600824,3216674.483902347,3196099.1594228223,3218366.9367108247,3282205.505979509,3222487.7780579696,3217653.817066908,3206836.2141335253,3210348.9253116003,3615104.206113099,3225736.480008227,3204910.4730082136,3220496.8790186034,3819837.183271833,3201013.3796109264,3627805.636743905,3206568.464896331,3617836.054941381,3216490.2247910877,3220435.490680357,3828723.683748086,3181977.117143795,3628826.2968897503,3205603.1796169854,3195923.323543701,3205222.9120583865,3625448.285816247,3622980.4476428973,3201293.363632381,3615847.9153461405,3645322.685960094,3619508.9588988414,3823983.8843086236,3228572.0614846665,3617950.8196934178
1,3856355.502499428,2412313.778813327,3413833.4789028307,2412876.650377127,3206237.452177931,3623331.55882652,3422816.4730903935,2430716.4246646822,2407193.081893557,2373652.5731191877,3420705.9457713105,2403918.4261433906,2434830.3657533824,3403960.543165273,3430379.079806884,3210153.395298227,3203969.192030324,2379992.636205363,2389109.7752330475,2395104.3228881015,3245222.671514677,2409455.0057768757,2379057.2139218184,2808936.5369800557,3194918.55367051,2386410.6504663695,3188865.4323532293,2827227.4203276234,2385221.96488607,2423491.149330422,3243164.282191087,2418531.202779407,2405389.4768764717,2384351.088384195,2389890.4703610335,3439746.5357408025,2360870.1871521785,3210323.126877276,3615649.4232403967,2400037.176289599,3610022.5907841604,3409589.7908815593,3249510.014383859,3420726.345502355,3225671.708586982,3618730.423243589,3609104.3424927136,3212384.1066037235,3400977.7944150097,3208406.569467283,2399207.939157853,2377037.232606471,3617140.410943321,2391929.6046073274,2436842.7538483907,2351624.694257568,3457954.3367146878,3197001.3744939687,3226016.6948545845,2382079.630796902,2418519.596239923,3216429.288596823,3603928.54213903,3424518.7505429136,2367101.7212076127,2424475.836802297,2410511.0241393438,2369246.600021007,2413718.829029237,2539635.606767285,2422133.214807214,2412377.9612928433,2390626.6287485883,2397780.5758281793,3187734.2940664454,2428457.5842212406,2386926.508212002,2418087.345501896,3607994.6728268457,2378975.2473199475,3421047.292629632,2390259.7460156213,3193295.2132895384,2410052.5964750745,2417847.56032107,3626167.750001217,2340913.4179320084,3215772.272869377,2387966.4494763096,2368784.282944387,2387256.814523403,3208912.9923393745,3203893.7698925673,2379447.2311330116,3189529.1015537046,3249274.946200801,3196966.325628358,3616502.597283306,2434301.1207583016,3193652.660846269
2,3767538.5679210345,1605354.0480624505,3193960.563121032,1606288.4211815745,2986628.5268777176,3408900.555214466,3206171.377942291,1633077.4617200498,1597842.0862554284,1547405.5035199327,3203206.131924056,1592829.3468525496,1639351.735266781,3180491.401816766,3216508.008248513,2773059.0457775164,2983794.064629862,1556851.1693607888,1570558.7776270753,1579471.743547773,2826148.7574519934,1600980.7269326523,1555462.2678850756,2383814.0549487923,2749408.1710146405,1566472.5497600434,2740333.001780366,2408401.1765324394,1564477.2892223708,1622275.2407596505,2823380.449062221,1614683.7280845838,1595008.530692658,1563346.5191077308,1571668.0866620233,3229209.3892838326,1528241.6593242548,2773345.8166989693,3397114.313535531,1586962.4215235906,3388535.099618065,3188165.7221514666,3041468.836887013,3203248.59025904,2796393.633578027,3401922.6374960262,3387083.3173923353,2776089.4483549884,3176470.227380258,2770433.474685558,1585856.1498220155,1552401.4617027377,3399396.377232077,1574756.8119455397,1642092.0980427908,1514518.1746146965,3254001.451965052,2752828.7039940828,3011671.3418467874,1560060.8416457984,1614701.4603623524,2782713.384820385,3379059.965442136,3208315.5647233226,1537658.3552546434,1623495.0392265012,1602732.7270439193,1540882.1836387252,1607471.71305765,1793639.5188909357,1620266.0675211968,1605631.441230411,1572744.447660915,1583752.31612778,2738124.908359321,1629678.9484024218,1567494.618502856,1614207.0850229494,3385395.5374439345,1555296.6624521476,3203775.976814266,1572386.7085605185,2746699.105083357,1602051.5429652294,1613802.53909188,3413273.478173098,1498074.6782586828,2781346.129037616,1568736.2990120256,1540008.0673678007,1567686.155432364,2990039.9051030246,2763062.4631585204,1555847.3608087692,2741405.826902134,2832559.925737677,2752859.998954791,3398495.48324027,1638527.625005042,2747483.513392738
3,3674259.429678551,1255799.354850266,2962931.2767142192,1259965.6177379687,2755819.703392713,3183507.4671295304,2978519.5098424167,1294248.2494999387,1252588.322669242,1191742.878068308,2974592.5410694825,1241512.3353647834,1301713.3103135147,2945704.248243626,2991700.746607941,2313498.694741608,2752397.4936751276,1201191.1280578696,1217034.4683043885,1222047.2848241266,2605868.7011244344,1244419.0243517463,1200052.7160446441,1936945.19372645,2280885.3864408755,1211513.63708798,2268799.6822913,1968079.636028507,1202926.3281476304,1278564.9906122133,2381689.618680727,1269221.8191056778,1247507.2982455972,1204908.3166211585,1216157.4339078506,3007948.0119240466,1169208.211131499,2313918.7556234677,3167438.2930347845,1234699.6152977005,3155816.054103829,2955487.2279228093,2822764.916894817,2974669.43839081,2344680.5143745514,3174123.9382654126,3153779.876675639,2317094.1947058877,2940565.5789462137,2310019.9137178464,1238926.8876886594,1194640.197480612,3170546.29283595,1217392.7598479176,1299654.385044678,1154621.9507842062,3039669.640548513,2285994.6534943325,2786415.786060972,1206826.111085992,1271320.252241569,2326721.8278089613,3142720.9353595264,2981011.0785239656,1180111.820355566,1272926.9930209848,1257705.9540156915,1185827.9959690159,1257406.2927102663,1387408.944275888,1280629.3179646113,1261134.8759280462,1217599.4262604343,1237400.2261254424,2265266.5992088537,1288709.5246988605,1215920.4127782579,1274138.4132196505,3151489.7016302287,1200765.2872093087,2975481.500352807,1221981.9676463378,2276876.9972540075,1255012.9472285653,1272145.8871156035,3189511.515133783,1125933.4143401568,2553044.7172164046,1210312.3608359764,1179628.23859609,1209020.4560936252,2760008.485545605,2299369.690970882,1193066.2486414795,2270338.2101633195,2393838.5143878213,2285977.3925685994,3169427.8683220316,1300109.1379984617,2278258.535357367
4,3576292.8715914628,1277196.706012285,2720149.080737429,1284779.9471662317,2513228.4130848288,2946477.013598135,2739293.6326175136,1324641.170586903,1278379.6984335722,1213913.2846706894,2734289.7384776333,1261150.8807063268,1331454.4554321682,2698991.1144658863,2755449.9992396645,1830306.8561918733,2509202.1155333035,1222810.7136449188,1238778.37591097,1236851.1014674439,2374277.2802785197,1252753.090812356,1220888.9564220204,1467195.1734902333,1788129.9654617703,1232276.521900609,1773059.3797765446,1505138.2111826872,1216648.5303388876,1302931.4904979966,1917001.3601581843,1280763.0721818688,1273316.8066946564,1218930.706299766,1233164.4893442912,2775407.934581883,1191157.4796823333,1830859.8735859606,2926044.6665671873,1253295.0181296258,2911314.575478841,2710984.936304211,2592839.0277923644,2734413.2191020125,1869336.4794409978,2934772.1404568944,2908621.4361318233,1834180.0776397896,2692681.8611873845,1825992.9190819333,1267003.3117312093,1213928.4680637263,2930019.4234399376,1233112.1492604443,1326880.0642700815,1175306.2834840456,2814421.808719412,1795173.0952344965,2549767.3537631743,1230351.5508260923,1284333.1709252722,1847291.970751005,2894324.887884492,2742026.9432065245,1200555.9367982156,1289877.518119293,1285187.0747868128,1209206.9214656448,1274866.7994405453,1385211.0886009492,1312357.4503810254,1288139.7922956082,1235480.070514648,1265094.3371283165,1767918.1957263513,1317200.724237312,1238376.418904712,1306637.1147037644,2905706.729526255,1224664.3746234223,2735586.626886901,1247290.330894726,1782600.35568474,1279718.0645493472,1303859.6023582213,2954343.0862141293,1134502.0283716733,2313086.0087945163,1215747.5065122,1195612.1740526669,1222693.4189619343,2518242.649616076,1811566.5825243404,1202861.7476094489,1775131.0440429435,1931879.9846200738,1795120.0383391613,2928788.3767345613,1328895.66181114,1784789.2714533308
5,3473402.002977141,1309377.6601498744,2465031.8803194114,1320019.9011757486,2258254.455920913,2697290.459000791,2487882.9173981543,1364747.6620136176,1313135.8746105188,1245933.6319052272,2481690.190190531,1292771.4467192513,1372909.8696235854,2439759.573301087,2507176.2420050874,1322225.9329676442,2253599.23170754,1256015.552425019,1271744.1801368848,1265162.208156857,2130786.909264681,1273658.5550585382,1253358.1573993135,1241337.2738694812,1269912.9898907328,1265588.4993937141,1251824.4023134026,1275801.8050763926,1244450.6444083059,1337408.548833827,1428044.360898852,1297099.8115946455,1309999.954550203,1245767.2516092628,1260504.037332072,2531010.418486572,1224827.0522865423,1322913.0385386131,2672344.2685922664,1283065.1695400148,2654394.1733562113,2454114.3986622333,2351105.804170368,2481877.4291960346,1369083.4066844897,2683272.1361713354,2650990.212950454,1326087.1654098304,2432205.871237839,1317110.4847713725,1305077.2397802596,1245000.976710207,2677206.7737961994,1260901.5943387016,1366879.7472148356,1205075.195344059,2577697.417853586,1279095.5073321708,2301025.0133255557,1264997.265392673,1302277.9246334895,1343182.239109896,2633237.403766058,2490744.1257437035,1231040.843310226,1321226.614146242,1323663.0829477725,1242243.6383105665,1305412.247617917,1419366.93090039,1353971.6909951589,1324583.576427342,1265483.489727689,1302876.516865288,1244602.6165573962,1357047.3921022806,1270436.6595141815,1349155.1048823015,2647467.5158782615,1260550.5553019312,2483509.4405577974,1283042.5635039036,1262543.3801654682,1315344.2008521783,1346620.1959081646,2707185.7472728025,1155919.8834456727,2060864.9056112126,1225771.0503998545,1222391.0965205098,1251368.7527174165,2264135.259423939,1298432.7716775455,1224287.7142910068,1254508.1546553965,1445305.2747134613,1279015.0242023894,2675914.063079643,1367859.3649100694,1265825.7029279242
6,3365338.059450595,1347763.2766027756,2196991.966225199,1361539.4070507379,1990263.241710793,2435327.337921814,2223706.905153787,1410761.3814515506,1353838.596161299,1284406.057420285,2216144.508271717,1331760.8818033314,1422236.094772472,2167369.1127546006,2246252.2916667685,1290424.4504326193,1984940.1308467758,1295761.4852189843,1311140.8962882222,1301187.5166027688,1874779.4284430137,1303347.0333645327,1293789.9270484878,1255307.4334087165,1242595.325243385,1306508.813031564,1222296.8856367033,1278329.2430241816,1280312.3949187256,1378003.2782746821,1392096.8444880247,1317271.2260386439,1353317.7170340773,1281922.870044027,1293802.2092274565,2274135.1507727033,1265669.6347596531,1291373.3822222955,2405679.4898721273,1320081.5637058464,2384438.784719733,2184171.3060179586,2096991.8318718867,2216422.1453478173,1300959.098491458,2418996.6979938094,2380288.142686656,1278978.403681232,2158483.1266537597,1295007.8113562954,1349510.5123469548,1283045.9978233094,2411506.900045378,1296215.5551808043,1413847.5867916918,1241010.8551945647,2328903.2822747747,1255636.74369017,2039559.7425691613,1306147.5679415048,1324187.9536694358,1315286.1990745182,2358880.5295687886,2226520.967139936,1267963.9569043978,1361633.6090186106,1369181.1859105802,1281921.5615212077,1345615.4181059892,1463657.232464621,1401540.3744983186,1366571.9020952901,1303633.487284005,1347610.128059678,1207631.3638681413,1404232.340119554,1308438.145279495,1397734.0488814968,2376100.51307812,1303776.102008472,2218667.397920403,1324940.747666632,1216335.3469708976,1357737.570703504,1395912.7033331832,2447397.970817593,1184998.1580843297,1795747.7212553376,1239652.1909342597,1256315.5472846366,1289819.5653018786,1997042.1235639348,1261498.817167397,1252595.7166484818,1234749.5709813985,1358756.4779787555,1253356.4861199583,2410212.575479769,1413328.9594309884,1238148.038358687
7,3251839.3747977098,1390399.769919,1915333.6625596404,1407714.2428747208,1708573.7335573302,2160028.540671404,1946075.082075764,1460686.5867247526,1399178.648577201,1327682.285534628,1936979.8764065425,1375690.7014207412,1476631.9029477106,1881103.404561038,1972025.0290579286,1299000.3691066832,1702545.159871984,1339966.0705189353,1354608.7129782622,1341934.6905670962,1605608.6722079318,1339110.0640276982,1339978.2986390758,1276967.1683258936,1259783.0168523765,1352183.514963724,1233317.3198216667,1290862.8889033392,1321926.7369525318,1422914.256489355,1413435.8693373331,1340773.1524002333,1400803.3265014135,1324115.6242861608,1330988.1647032257,2004125.8212116368,1311249.2904683682,1299752.3446637725,2125378.3923044153,1362265.449533949,2100765.198959312,1900524.1261476225,1829810.0271473841,1937371.0668877256,1315551.052266874,2141286.4988442347,2095822.4589869112,1290987.307367398,1870830.5422598335,1312192.6001389686,1398384.382985411,1325759.212238947,2132215.671502311,1337023.1787879814,1465273.8045926944,1281476.4502354027,2067407.200718416,1272992.4526712268,1764666.763162973,1351779.1698763724,1349641.4590879588,1327562.1810293705,2070531.2758179654,1948715.6744283128,1309342.585586412,1408058.0968925362,1419381.3193036078,1326642.5047949057,1392629.3190086856,1514328.7009437354,1453307.1617140367,1412288.994877901,1347600.9256924833,1397324.0902685053,1218951.6468165831,1456282.782999119,1350602.6788643738,1450556.7263427097,2090970.669791007,1351961.0568740608,1940375.6364744666,1371032.3443923886,1228689.1136825136,1404558.1668362054,1449402.4822545506,2174387.418391098,1219162.1328286312,1517059.1033012671,1257220.5625601169,1295571.8252985415,1333707.591807666,1716293.088532498,1275056.3944602096,1285605.8191630745,1255377.7249547848,1375411.1748537605,1268352.1013121633,2131015.588780795,1463658.49051609,1254955.3837228224
8,3132631.002503866,1436218.0969177028,1619345.649751119,1457298.1250849105,1412475.7247944667,1870584.9677546225,1654305.7792363286,1513706.7995252365,1448007.7205899553,1374828.9813388484,1643472.4307791013,1422895.8849853356,1534511.4169052925,1580287.2507718687,1683800.7520689662,1315746.6505597066,1405707.0323172456,1387382.3225110595,1400913.6167278772,1386072.2459552533,1392576.1578877578,1379049.8514293623,1390042.1266442824,1304447.6389260453,1283789.5592285376,1401098.2706813056,1252436.9040069191,1310803.558511428,1367955.2382482945,1471057.2874086143,1443119.7471473918,1367641.3255407426,1451263.7919050723,1370207.8437440915,1370907.1950378243,1720306.293452598,1360025.8597699048,1316326.69026222,1830734.3943992436,1408305.8015348357,1802653.4258587493,1602453.3126535572,1548880.004160927,1644015.600270572,1342042.6910504303,1849449.3324399965,1796901.5638010954,1310923.8457405677,1568534.3950720462,1336792.249838137,1450592.2556508966,1371605.789641122,1838619.5401628183,1381746.2796076678,1519913.825066368,1325336.208619327,1792556.6495561795,1297930.8845560686,1475746.6077214458,1400662.7773856346,1378344.6772216777,1348751.6378787067,1767371.144299696,1656569.9007330358,1354131.4259371574,1458496.1673079054,1472897.521047634,1375191.721554893,1444191.6248619242,1569303.2024226857,1508017.6318491308,1460838.2510808904,1395558.579011521,1450761.166848344,1238546.9141162722,1511952.0274389212,1395905.7818261518,1506513.4742898007,1791298.1549235806,1403686.8274351396,1647965.5278833127,1420010.5419554776,1248371.2054863495,1454641.0058889468,1505970.2103788396,1887467.3327553724,1256863.340520526,1301038.5960384398,1278362.5146880813,1339263.7842722996,1380896.6449094424,1421181.180119145,1296624.6841225997,1322194.2653518629,1283244.8344313905,1403127.411446341,1291130.7359951402,1837595.3066999784,1517565.3279298407,1278837.658946282
9,3007423.901356266,1484803.8521862498,1308294.4042693216,1509772.061397247,1267248.3741317412,1566307.8156141513,1347655.951322351,1569034.3940242,1499635.3077337425,1425182.7123650564,1334869.4400205314,1472720.0519229164,1594710.380917098,1264170.2944526498,1380850.6807496934,1338890.9242004089,1264186.2593553877,1436979.5590809416,1449625.1043699284,1432462.745031208,1387222.2523758237,1421924.0366690315,1442960.1192245176,1336814.7794075855,1313477.5764242983,1452061.5609261652,1277839.9807511019,1336659.1267255973,1417403.2471616408,1521619.4541244556,1479861.8019270252,1397474.3957697672,1504058.7719303935,1418975.6288418218,1413171.256631424,1421954.7217989827,1410995.2740388252,1339789.968696707,1520997.4528604741,1457501.4931819625,1489401.261283727,1289210.0603364515,1405709.8361712075,1335611.6069499317,1374388.531220603,1542754.7774049256,1482718.17983903,1337411.353422375,1250832.769706794,1367167.7689378383,1505443.7180145227,1419965.9137786876,1529982.0850634647,1429531.7198136009,1576891.8649828427,1371847.1609812789,1503651.327090928,1328953.753027719,1338238.8605174366,1451789.4733556588,1410217.3508056481,1377470.3982797049,1448798.6987572345,1349329.5976000456,1401395.618096815,1511851.648955073,1528851.6206160667,1426664.5632101241,1498790.946879777,1627302.3775207298,1565002.3554407207,1511443.0906954736,1446518.8897050302,1507052.8873592124,1265020.755410752,1570080.8492968937,1443338.421166274,1564863.2746595014,1476373.3260820496,1457838.8603095596,1340660.8220799111,1471288.8024677718,1274214.417168366,1507135.4080651205,1564657.8721944157,1585830.9327354976,1297222.2898314528,1298498.9432658704,1302954.8701748166,1386352.0915681152,1430602.928735953,1277224.3199986734,1324541.6256071883,1361657.7485005744,1316621.6969487052,1437623.9111816725,1319961.160637528,1529272.5560465003,1574259.9920063775,1308182.815137682
