,Trial0,Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9
71,3628180.0950204567,5827544.367270951,5827544.360304373,5827544.395956537,5827544.367513694,5827544.355596061,5827544.3577778395,5827544.364332308,5827544.338464779,5827544.363417745
72,3699153.3386158487,5907614.134125404,5907614.125320284,5907614.162509619,5907614.133559538,5907614.120588987,5907614.122651741,5907614.129406524,5907614.102302093,5907614.128919284
73,3770392.463837013,5988018.905870719,5988018.8951039165,5988018.933812018,5988018.904406541,5988018.890366357,5988018.892298653,5988018.899218555,5988018.870850004,5988018.899215752
74,3842062.4938123454,6068761.328308716,6068761.315463724,6068761.355665638,6068761.325860952,6068761.310736226,6068761.312529394,6068761.319569947,6068761.289908566,6068761.320109324
75,3914100.342172547,6149844.035792019,6149844.020758661,6149844.06242327,6149844.032280243,6149844.016057827,6149844.017705301,6149844.024813404,6149843.9938284615,6149844.025952898
76,3986409.9522054484,6231269.645851193,6231269.628525124,6231269.671615746,6231269.641200046,6231269.623868499,6231269.625364913,6231269.632479983,6231269.600138135,6231269.6342771305
77,4058993.497203008,6313040.752641723,6313040.73292382,6313040.777398988,6313040.746780737,6313040.7283303905,6313040.72967079,6313040.736726225,6313040.7029907685,6313040.739237301
78,4131853.1988656935,6395159.918900349,6395159.896696171,6395159.942510564,6395159.911763539,6395159.892186769,6395159.893366044,6395159.900290751,6395159.86512074,6395159.9035697095
79,4204991.325737618,6477629.666011597,6477629.641231195,6477629.688336739,6477629.657537299,6477629.636828759,6477629.63784143,6477629.644561371,6477629.607910659,6477629.648658785
80,4278410.191042913,6560452.461688583,6560452.434246907,6560452.482594107,6560452.451820157,6560452.429976612,6560452.430817114,6560452.437256727,6560452.3990730345,6560452.442219029
81,4352112.1526836315,6643630.704645234,6643630.674463022,6643630.724002462,6643630.693332384,6643630.670352301,6643630.671015421,6643630.677099132,6643630.6373230405,6643630.682968125
82,4426099.609696231,6727166.705424048,6727166.67242907,6727166.72311304,6727166.692624387,6727166.668507524,6727166.668988469,6727166.674642664,6727166.63320637,6727166.681455011
83,4500375.001105553,6811062.66236245,6811062.626491055,6811062.678275301,6811062.648043097,6811062.622790288,6811062.623084063,6811062.628239799,6811062.585065536,6811062.63602623
84,4574940.804178632,6895320.631322826,6895320.592521813,6895320.645367549,6895320.615462164,6895320.589075248,6895320.589175517,6895320.593771106,6895320.548770113,6895320.6025560945
85,4649799.532702222,6979942.487279645,6979942.445508632,6979942.499384835,6979942.469869471,6979942.442351312,6979942.442248943,6979942.446231578,6979942.399304506,6979942.4560341835
86,4724953.735303811,7064929.875484411,7064929.830718653,7064929.885604568,7064929.85653238,7064929.827886801,7064929.827568517,7064929.830894837,7064929.781933622,7064929.841729887
87,4800405.993997018,7150284.1487233285,7150284.100957028,7150284.156844264,7150284.128255637,7150284.098487015,7150284.097934299,7150284.100570721,7150284.04946131,7150284.112448171
88,4876158.922413073,7236021.452858084,7236021.401977818,7236021.458946107,7236021.431016756,7236021.400029808,7236021.399173469,7236021.400988407,7236021.347382633,7236021.413837536
89,4952215.164052713,7322147.006746928,7322146.952682661,7322147.010660166,7322146.983448799,7322146.951273519,7322146.950123474,7322146.951095164,7322146.894865045,7322146.965026551
90,5028577.391249702,7408663.168593485,7408663.111246799,7408663.170134153,7408663.143704569,7408663.1103810575,7408663.108970433,7408663.109085015,7408663.050112055,7408663.124245404
91,5105248.304204332,7495572.083256181,7495572.022495927,7495572.082164571,7495572.056587898,7495572.022166252,7495572.020556958,7495572.019804639,7495571.95798433,7495572.036375422
92,5182230.630102488,7582875.611118783,7582875.546780984,7582875.607077554,7582875.582433106,7582875.546971687,7582875.545255741,7582875.543628389,7582875.478871896,7582875.561816971
93,5259614.830143429,7670575.231038188,7670575.162933627,7670575.223693402,7670575.200066409,7670575.163628045,7670575.16192004,7670575.15941327,7670575.09164415,7670575.179434209
94,5337345.143382982,7758671.905105326,7758671.833039679,7758671.894108118,7758671.871581828,7758671.834228617,7758671.832648228,7758671.829267332,7758671.758415623,7758671.8513147235
95,5415391.411459976,7847165.890228004,7847165.814035506,7847165.87529306,7847165.8539337,7847165.815721199,7847165.814371165,7847165.810136426,7847165.7361365,7847165.834355096
96,5493756.264769463,7936056.468794733,7936056.3883769,7936056.44976072,7936056.429595254,7936056.390569347,7936056.389517197,7936056.384463704,7936056.307264312,7936056.410930381
97,5572442.343239435,8025341.551056246,8025341.466410393,8025341.527924108,8025341.508916968,8025341.469116855,8025341.468388562,8025341.462559565,8025341.38215021,8025341.491280778
98,5651452.2943868665,8115017.086006746,8115016.997230586,8115017.058934626,8115017.0409782315,8115017.000440482,8115017.000034836,8115016.993472118,8115016.9099232135,8115017.02439359
99,5730788.771213712,8205076.1660400415,8205076.073324861,8205076.135331572,8205076.118243319,8205076.0769979125,8205076.076905927,8205076.069641636,8205075.983161039,8205076.102651964
